Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
12742;21101039810;Journal of Osteopathic Medicine;journal;27023648;0,445;Q2;61;105;323;2981;390;264;0,98;28,39;-;0;40;Germany;Western Europe;Walter de Gruyter GmbH;2021-2025;"Complementary and Alternative Medicine (Q2); Complementary and Manual Therapy (Q2)";"Health Professions; Medicine"
12743;26179;Journal of Pediatric Endocrinology and Metabolism;journal;0334018X, 21910251;0,445;Q2;75;163;603;4378;825;595;1,18;26,86;-;0;67;Germany;Western Europe;Walter de Gruyter GmbH;1985-2025;"Pediatrics, Perinatology and Child Health (Q2); Endocrinology, Diabetes and Metabolism (Q3); Endocrinology (Q4)";"Biochemistry, Genetics and Molecular Biology; Medicine"
12744;21101066153;Journal of Science in Sport and Exercise;journal;20966709, 26621371;0,445;Q2;13;90;136;4253;179;131;1,32;47,26;-;0;5;United States;Northern America;Springer Nature;2019-2025;"Physical Therapy, Sports Therapy and Rehabilitation (Q2); Rehabilitation (Q2); Nutrition and Dietetics (Q3); Orthopedics and Sports Medicine (Q3); Physiology (Q3)";"Biochemistry, Genetics and Molecular Biology; Health Professions; Medicine; Nursing"
12745;19900193558;Journal of Tropical Meteorology;journal;10068775, 10044965;0,445;Q3;15;38;108;1745;119;108;1,06;45,92;-;0;8;China;Asiatic Region;Science Press;2008-2015, 2017-2024;Atmospheric Science (Q3);Earth and Planetary Sciences
12746;21100286934;Vietnam Journal of Mathematics;journal;2305221X, 23052228;0,445;Q2;20;93;185;3032;194;178;0,89;32,60;-;0;1;United States;Northern America;Springer Science + Business Media;2013-2025;Mathematics (miscellaneous) (Q2);Mathematics
12747;29156;Boston University Law Review;journal;00068047;0,444;Q1;41;53;159;10481;196;150;1,15;197,75;-;0;17;United States;Northern America;Boston University, School of Law;1973-1977, 1987, 1989-1990, 1992, 1994, 1996-2024;Law (Q1);Social Sciences
12748;27454;Composite Interfaces;journal;09276440, 15685543;0,444;Q2;58;94;221;5891;599;218;2,83;62,67;-;0;11;United Kingdom;Western Europe;Taylor and Francis Ltd.;1993-2025;"Ceramics and Composites (Q2); Physics and Astronomy (miscellaneous) (Q2); Surfaces, Coatings and Films (Q2)";"Materials Science; Physics and Astronomy"
12749;17400154818;ERA Forum;journal;16123093, 18639038;0,444;Q1;16;31;142;384;238;129;1,22;12,39;-;0;14;Germany;Western Europe;Springer Verlag;2009-2025;"Law (Q1); Political Science and International Relations (Q2)";Social Sciences
12750;22186;Genetics and Molecular Biology;journal;14154757, 16784685;0,444;Q3;65;66;257;3822;427;256;1,26;57,91;-;0;27;Brazil;Latin America;Brazilian Society of Genetics;1998-2025;"Genetics (Q3); Molecular Biology (Q3)";Biochemistry, Genetics and Molecular Biology
12751;13002;Heat Transfer Engineering;journal;15210537, 01457632;0,444;Q2;83;251;386;8620;863;379;2,06;34,34;-;0;53;United Kingdom;Western Europe;Taylor and Francis Ltd.;1979-2025;"Condensed Matter Physics (Q2); Fluid Flow and Transfer Processes (Q2); Mechanical Engineering (Q2)";"Chemical Engineering; Engineering; Physics and Astronomy"
12752;16690;Journal of Computational Neuroscience;journal;09295313, 15736873;0,444;Q3;85;21;94;910;138;85;1,75;43,33;-;0;0;Netherlands;Western Europe;Springer Netherlands;1994-2025;"Cognitive Neuroscience (Q3); Cellular and Molecular Neuroscience (Q4); Sensory Systems (Q4)";Neuroscience
12753;21100375872;Journal of Economics, Finance and Administrative Science;journal;20771886, 22180648;0,444;Q2;29;29;73;1664;226;67;2,74;57,38;-;0;15;Peru;Latin America;ESAN University;2012-2025;Economics, Econometrics and Finance (miscellaneous) (Q2);Economics, Econometrics and Finance
12754;21100205991;Journal of Mental Health Training, Education and Practice;journal;20428707, 17556228;0,444;Q2;23;25;112;1102;180;111;1,51;44,08;-;0;6;United Kingdom;Western Europe;Emerald Group Publishing Ltd.;2006-2025;"Education (Q2); Health (social science) (Q2); Health Policy (Q3); Organizational Behavior and Human Resource Management (Q3); Psychiatry and Mental Health (Q3)";"Business, Management and Accounting; Medicine; Social Sciences"
12755;11900154311;Mathematica Slovaca;journal;01399918, 13372211;0,444;Q2;31;113;339;2552;319;339;0,94;22,58;-;0;1;Poland;Eastern Europe;Walter de Gruyter GmbH;2007-2024;Mathematics (miscellaneous) (Q2);Mathematics
12756;5600155080;Philosophy and Social Criticism;journal;01914537;0,444;Q1;42;145;265;5690;280;260;1,03;39,24;-;2;32;United States;Northern America;SAGE Publications Inc.;1973-1982, 1984-2025;"Philosophy (Q1); Sociology and Political Science (Q2)";"Arts and Humanities; Social Sciences"
12757;32211;Proceedings of the International Conference on Application-Specific Systems, Architectures and Processors;conference and proceedings;2160052X, 21600511;0,444;-;39;51;99;808;199;92;1,76;15,84;-;0;13;United States;Northern America;Institute of Electrical and Electronics Engineers Inc.;1993-1997, 2000, 2002-2024;"Computer Networks and Communications; Computer Science (miscellaneous); Hardware and Architecture";Computer Science
12758;21101100112;Rheumatology and Autoimmunity;journal;27671429, 27671410;0,444;Q3;6;49;84;1560;84;67;1,06;31,84;-;0;11;United States;Northern America;"John Wiley &amp; Sons Inc.";2021-2025;"Immunology (Q3); Immunology and Allergy (Q3); Internal Medicine (Q3); Rheumatology (Q3)";"Immunology and Microbiology; Medicine"
12759;21100399434;Spanish Journal of Soil Science;journal;22536574;0,444;Q2;15;14;41;861;89;39;2,39;61,50;-;0;11;Switzerland;Western Europe;Frontiers Media SA;2011-2025;Soil Science (Q2);Agricultural and Biological Sciences
12760;21100860733;Trends in Psychology;journal;23581883;0,444;Q3;18;148;228;8467;358;224;1,55;57,21;-;0;46;Germany;Western Europe;Springer Science and Business Media Deutschland GmbH;2018-2025;Psychology (miscellaneous) (Q3);Psychology
12761;21101074783;Upstream Oil and Gas Technology;journal;26662604;0,444;Q2;14;0;71;0;197;71;3,33;0,00;-;0;0;United States;Northern America;Elsevier Inc.;2019-2023;"Chemical Engineering (miscellaneous) (Q2); Geophysics (Q2); Geotechnical Engineering and Engineering Geology (Q2); Fuel Technology (Q3); Geochemistry and Petrology (Q3)";"Chemical Engineering; Earth and Planetary Sciences; Energy"
12762;13850;Wind Engineering;journal;0309524X, 2048402X;0,444;Q2;55;124;300;4859;705;300;2,53;39,19;-;0;104;United Kingdom;Western Europe;SAGE Publications Inc.;1977-2025;"Energy Engineering and Power Technology (Q2); Renewable Energy, Sustainability and the Environment (Q3)";Energy
12763;21101037324;World of Media;journal;26868016, 23071605;0,444;Q1;9;19;47;757;83;47;1,56;39,84;-;0;7;Russian Federation;Eastern Europe;Lomonosov Moscow State University, Faculty of Journalism;2019-2024;"Linguistics and Language (Q1); Communication (Q2)";Social Sciences
12764;21100778828;Agricultural Economics (Czech Republic);journal;0139570X, 18059295;0,443;Q2;35;48;147;2090;362;147;2,29;43,54;-;0;37;Czech Republic;Eastern Europe;Czech Academy of Agricultural Sciences;2003-2004, 2007-2025;"Agricultural and Biological Sciences (miscellaneous) (Q2); Economics, Econometrics and Finance (miscellaneous) (Q2)";"Agricultural and Biological Sciences; Economics, Econometrics and Finance"
12765;4700152835;American Journal of Sexuality Education;journal;15546136, 15546128;0,443;Q2;30;60;81;3236;162;81;1,85;53,93;-;0;53;United States;Northern America;Routledge;2005-2025;Education (Q2);Social Sciences
12766;21100375851;Anuario de Psicologia Juridica;journal;11330740, 21740542;0,443;Q1;16;14;42;905;81;42;2,07;64,64;-;1;10;Spain;Western Europe;Colegio Oficial de Psicologos de Madrid;2013-2025;"Law (Q1); Applied Psychology (Q3); Pathology and Forensic Medicine (Q3)";"Medicine; Psychology; Social Sciences"
